date, price
29/1/2004,51.64 
30/1/2004,51.64 
2/2/2004,50.03 
3/2/2004,51.28 
4/2/2004,51.10 
5/2/2004,51.10 
6/2/2004,52.35 
9/2/2004,53.43 
10/2/2004,53.25 
11/2/2004,53.25 
12/2/2004,52.89 
13/2/2004,52.89 
16/2/2004,53.07 
17/2/2004,52.89 
18/2/2004,53.60 
19/2/2004,54.14 
20/2/2004,53.78 
23/2/2004,52.71 
24/2/2004,52.35 
25/2/2004,51.82 
26/2/2004,51.46 
27/2/2004,53.07 
1/3/2004,53.07 
2/3/2004,52.71 
3/3/2004,51.64 
4/3/2004,51.46 
5/3/2004,51.46 
8/3/2004,51.46 
9/3/2004,50.92 
10/3/2004,50.21 
11/3/2004,48.78 
12/3/2004,48.06 
15/3/2004,47.53 
16/3/2004,48.06 
17/3/2004,48.24 
18/3/2004,47.71 
19/3/2004,47.53 
22/3/2004,45.74 
23/3/2004,46.28 
24/3/2004,46.99 
25/3/2004,45.92 
26/3/2004,45.56 
29/3/2004,45.74 
30/3/2004,47.17 
31/3/2004,46.64 
1/4/2004,46.99 
2/4/2004,47.89 
5/4/2004,47.89 
6/4/2004,48.78 
7/4/2004,48.78 
8/4/2004,48.42 
9/4/2004,48.42 
12/4/2004,48.42 
13/4/2004,48.60 
14/4/2004,46.81 
15/4/2004,45.56 
16/4/2004,45.38 
19/4/2004,45.38 
20/4/2004,45.38 
21/4/2004,44.13 
22/4/2004,43.60 
23/4/2004,44.67 
26/4/2004,43.42 
27/4/2004,43.60 
28/4/2004,43.42 
29/4/2004,42.88 
30/4/2004,42.88 
3/5/2004,42.70 
4/5/2004,43.06 
5/5/2004,41.99 
6/5/2004,41.99 
7/5/2004,41.45 
10/5/2004,40.02 
11/5/2004,39.31 
12/5/2004,39.85 
13/5/2004,38.95 
14/5/2004,38.59 
17/5/2004,36.27 
18/5/2004,36.99 
19/5/2004,38.95 
20/5/2004,39.13 
21/5/2004,40.20 
24/5/2004,40.74 
25/5/2004,40.92 
26/5/2004,40.92 
27/5/2004,41.99 
28/5/2004,41.99 
31/5/2004,41.81 
1/6/2004,41.45 
2/6/2004,41.45 
3/6/2004,40.56 
4/6/2004,40.74 
7/6/2004,42.53 
8/6/2004,42.35 
9/6/2004,42.35 
10/6/2004,42.70 
11/6/2004,42.88 
14/6/2004,41.28 
15/6/2004,41.10 
16/6/2004,41.10 
17/6/2004,40.56 
18/6/2004,39.13 
21/6/2004,39.13 
22/6/2004,39.13 
23/6/2004,39.13 
24/6/2004,40.56 
25/6/2004,40.56 
28/6/2004,40.92 
